Date;Year;Month_Number;Month_Name;Month_Name_FR;Quarter_Number;Quarter_Label;PI_Planning;Week_Number;Day_Number;Day_Name;Day_Name_FR;Day_Of_Week;Is_Weekend;Is_Weekday;Semester;Year_Month;Year_Week
04/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;40;4;Saturday;Samedi;6;YES;NO;S2;2025-10;2025-W40
05/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;40;5;Sunday;Dimanche;7;YES;NO;S2;2025-10;2025-W40
06/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;41;6;Monday;Lundi;1;NO;YES;S2;2025-10;2025-W41
07/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;41;7;Tuesday;Mardi;2;NO;YES;S2;2025-10;2025-W41
08/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;41;8;Wednesday;Mercredi;3;NO;YES;S2;2025-10;2025-W41
09/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;41;9;Thursday;Jeudi;4;NO;YES;S2;2025-10;2025-W41
10/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;41;10;Friday;Vendredi;5;NO;YES;S2;2025-10;2025-W41
11/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;41;11;Saturday;Samedi;6;YES;NO;S2;2025-10;2025-W41
12/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;41;12;Sunday;Dimanche;7;YES;NO;S2;2025-10;2025-W41
13/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;42;13;Monday;Lundi;1;NO;YES;S2;2025-10;2025-W42
14/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;42;14;Tuesday;Mardi;2;NO;YES;S2;2025-10;2025-W42
15/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;42;15;Wednesday;Mercredi;3;NO;YES;S2;2025-10;2025-W42
16/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;42;16;Thursday;Jeudi;4;NO;YES;S2;2025-10;2025-W42
17/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;42;17;Friday;Vendredi;5;NO;YES;S2;2025-10;2025-W42
18/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;42;18;Saturday;Samedi;6;YES;NO;S2;2025-10;2025-W42
19/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;42;19;Sunday;Dimanche;7;YES;NO;S2;2025-10;2025-W42
20/10/2025;2025;10;October;Octobre;4;Q4 2025;2025 - Q4 - DPF - PI Planning;43;20;Monday;Lundi;1;NO;YES;S2;2025-10;2025-W43
